pc_time_s,timestamp_ms,P_abs,P_g,P_atm,raw_line
1778765440.1690907,1259,93.33,0.08,93.26,"1259,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765440.2647028,1359,93.33,0.08,93.26,"1359,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765440.3635325,1459,93.09,-0.17,93.26,"1459,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765440.4636211,1559,93.33,0.08,93.26,"1559,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765440.5640907,1659,93.33,0.08,93.26,"1659,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765440.6637018,1759,93.33,0.08,93.26,"1759,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765440.7646532,1859,93.09,-0.17,93.26,"1859,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765440.8641906,1959,93.33,0.08,93.26,"1959,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765440.9638224,2059,93.33,0.08,93.26,"2059,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.0637004,2159,93.33,0.08,93.26,"2159,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.1649601,2259,93.33,0.08,93.26,"2259,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.2641995,2359,93.33,0.08,93.26,"2359,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.3640258,2459,93.33,0.08,93.26,"2459,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.4644399,2560,93.09,-0.17,93.26,"2560,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765441.5651433,2660,93.09,-0.17,93.26,"2660,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765441.6650336,2760,93.33,0.08,93.26,"2760,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.7647555,2860,93.33,0.08,93.26,"2860,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.8643634,2960,93.33,0.08,93.26,"2960,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765441.965301,3060,93.09,-0.17,93.26,"3060,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765442.064924,3160,93.09,-0.17,93.26,"3160,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765442.1649458,3260,93.09,-0.17,93.26,"3260,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765442.265264,3360,93.33,0.08,93.26,"3360,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765442.3649292,3460,93.09,-0.17,93.26,"3460,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765442.4647264,3560,93.33,0.08,93.26,"3560,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765442.5656466,3660,93.33,0.08,93.26,"3660,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765442.664737,3760,93.33,0.08,93.26,"3760,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765442.764426,3860,93.33,0.08,93.26,"3860,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765442.86536,3960,93.33,0.08,93.26,"3960,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765442.965049,4060,93.33,0.08,93.26,"4060,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765443.0648649,4160,93.33,0.08,93.26,"4160,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765443.1658504,4260,93.09,-0.17,93.26,"4260,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765443.2646854,4360,93.09,-0.17,93.26,"4360,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765443.3653345,4460,93.33,0.08,93.26,"4460,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765443.4651804,4560,93.33,0.08,93.26,"4560,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765443.5643947,4660,93.09,-0.17,93.26,"4660,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765443.665103,4760,93.33,0.08,93.26,"4760,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765443.7656524,4860,93.09,-0.17,93.26,"4860,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765443.864957,4960,93.33,0.08,93.26,"4960,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765443.9653544,5060,93.33,0.08,93.26,"5060,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765444.0653787,5160,93.09,-0.17,93.26,"5160,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765444.1643565,5260,93.33,0.08,93.26,"5260,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765444.2646751,5360,93.33,0.08,93.26,"5360,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765444.3653712,5460,93.09,-0.17,93.26,"5460,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765444.465109,5560,93.33,0.08,93.26,"5560,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765444.5648975,5660,93.33,0.08,93.26,"5660,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765444.6642745,5760,93.09,-0.17,93.26,"5760,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765444.764691,5860,93.33,0.08,93.26,"5860,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765444.8652055,5960,93.33,0.08,93.26,"5960,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765444.9648552,6060,93.33,0.08,93.26,"6060,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765445.064633,6160,93.33,0.08,93.26,"6160,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765445.1650698,6260,93.33,0.08,93.26,"6260,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765445.2647786,6360,93.09,-0.17,93.26,"6360,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765445.3644042,6460,93.33,0.08,93.26,"6460,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765445.4655647,6560,93.09,-0.17,93.26,"6560,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765445.564439,6660,93.33,0.08,93.26,"6660,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765445.6650467,6760,93.09,-0.17,93.26,"6760,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765445.7657745,6860,93.09,-0.17,93.26,"6860,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765445.864665,6960,93.33,0.08,93.26,"6960,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765445.9648309,7060,93.33,0.08,93.26,"7060,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.0649107,7160,93.33,0.08,93.26,"7160,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.1639838,7260,93.33,0.08,93.26,"7260,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.264692,7360,93.33,0.08,93.26,"7360,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.3651254,7460,93.33,0.08,93.26,"7460,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.4648955,7560,93.09,-0.17,93.26,"7560,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765446.5647385,7660,93.33,0.08,93.26,"7660,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.6647882,7760,93.33,0.08,93.26,"7760,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.764392,7860,93.33,0.08,93.26,"7860,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.865376,7960,93.33,0.08,93.26,"7960,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765446.965811,8060,93.33,0.08,93.26,"8060,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765447.0650423,8160,93.33,0.08,93.26,"8160,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765447.1645186,8260,93.33,0.08,93.26,"8260,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765447.2652311,8360,93.33,0.08,93.26,"8360,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765447.364825,8460,93.33,0.08,93.26,"8460,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765447.4652326,8560,93.09,-0.17,93.26,"8560,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765447.5655236,8660,93.09,-0.17,93.26,"8660,93.09,-0.17,93.26,0.00,IDLE,0,-1"
1778765447.6648676,8760,93.33,0.08,93.26,"8760,93.33,0.08,93.26,0.00,IDLE,0,-1"
1778765447.765042,8860,93.82,0.57,93.26,"8860,93.82,0.57,93.26,0.00,IDLE,0,-1"
1778765447.8647022,8960,94.07,0.81,93.26,"8960,94.07,0.81,93.26,0.00,IDLE,0,-1"
1778765447.9650025,9060,94.07,0.81,93.26,"9060,94.07,0.81,93.26,0.00,IDLE,0,-1"
1778765448.0648558,9160,94.07,0.81,93.26,"9160,94.07,0.81,93.26,0.00,IDLE,0,-1"
1778765448.1644046,9260,94.31,1.06,93.26,"9260,94.31,1.06,93.26,0.00,IDLE,0,-1"
1778765448.2649534,9360,94.07,0.81,93.26,"9360,94.07,0.81,93.26,0.00,IDLE,0,-1"
1778765448.3645875,9460,94.31,1.06,93.26,"9460,94.31,1.06,93.26,0.00,IDLE,0,-1"
1778765448.4647987,9560,94.80,1.54,93.26,"9560,94.80,1.54,93.26,0.00,IDLE,0,-1"
1778765448.5650897,9660,95.29,2.03,93.26,"9660,95.29,2.03,93.26,0.00,IDLE,0,-1"
1778765448.6656337,9760,96.02,2.77,93.26,"9760,96.02,2.77,93.26,0.00,IDLE,0,-1"
1778765448.7646165,9860,96.27,3.01,93.26,"9860,96.27,3.01,93.26,0.00,IDLE,0,-1"
1778765448.8648245,9960,96.27,3.01,93.26,"9960,96.27,3.01,93.26,0.00,IDLE,0,-1"
1778765448.96496,10060,96.27,3.01,93.26,"10060,96.27,3.01,93.26,0.00,IDLE,0,-1"
1778765449.0641901,10160,96.27,3.01,93.26,"10160,96.27,3.01,93.26,0.00,IDLE,0,-1"
1778765449.1648304,10260,96.27,3.01,93.26,"10260,96.27,3.01,93.26,0.00,IDLE,0,-1"
1778765449.2650304,10360,97.24,3.99,93.26,"10360,97.24,3.99,93.26,0.00,IDLE,0,-1"
1778765449.365087,10460,97.73,4.48,93.26,"10460,97.73,4.48,93.26,0.00,IDLE,0,-1"
1778765449.465041,10560,99.44,6.19,93.26,"10560,99.44,6.19,93.26,0.00,IDLE,0,-1"
1778765449.565654,10660,101.64,8.39,93.26,"10660,101.64,8.39,93.26,0.00,IDLE,0,-1"
1778765449.6654074,10760,102.38,9.12,93.26,"10760,102.38,9.12,93.26,0.00,IDLE,0,-1"
1778765449.7650733,10860,102.62,9.36,93.26,"10860,102.62,9.36,93.26,0.00,IDLE,0,-1"
1778765449.8655653,10960,103.11,9.85,93.26,"10960,103.11,9.85,93.26,0.00,IDLE,0,-1"
1778765449.965037,11060,103.35,10.10,93.26,"11060,103.35,10.10,93.26,0.00,IDLE,0,-1"
1778765450.0655386,11160,103.60,10.34,93.26,"11160,103.60,10.34,93.26,0.00,IDLE,0,-1"
1778765450.1653674,11260,104.82,11.56,93.26,"11260,104.82,11.56,93.26,0.00,IDLE,0,-1"
1778765450.2655973,11360,105.55,12.30,93.26,"11360,105.55,12.30,93.26,0.00,IDLE,0,-1"
1778765450.3660717,11460,106.04,12.79,93.26,"11460,106.04,12.79,93.26,0.00,IDLE,0,-1"
1778765450.4658496,11560,108.00,14.74,93.26,"11560,108.00,14.74,93.26,0.00,IDLE,0,-1"
1778765450.565631,11660,111.42,18.16,93.26,"11660,111.42,18.16,93.26,0.00,IDLE,0,-1"
1778765450.6658869,11760,111.91,18.65,93.26,"11760,111.91,18.65,93.26,0.00,IDLE,0,-1"
1778765450.7662091,11860,112.15,18.90,93.26,"11860,112.15,18.90,93.26,0.00,IDLE,0,-1"
1778765450.8651762,11960,112.64,19.38,93.26,"11960,112.64,19.38,93.26,0.00,IDLE,0,-1"
1778765450.9650853,12060,112.88,19.63,93.26,"12060,112.88,19.63,93.26,0.00,IDLE,0,-1"
